# Omega_m, sigma_8, n_s, w0, h0, b0, b1, b2, b3, b4
0.02 0.34 0.82 0.06 0.10 0.94 0.70 0.94 0.42 0.34
0.42 0.90 0.26 0.26 0.42 0.14 0.78 0.02 0.74 0.30
0.78 0.86 0.38 0.42 0.34 0.02 0.02 0.58 0.34 0.14
0.14 0.46 0.50 0.22 0.18 0.30 0.26 0.90 0.06 0.82
0.30 0.74 0.86 0.78 0.50 0.78 0.58 0.10 0.30 0.86
0.70 0.54 0.74 0.62 0.30 0.42 0.82 0.98 0.10 0.42
0.74 0.70 0.46 0.66 0.70 0.10 0.18 0.34 0.02 0.90
0.86 0.02 0.30 0.58 0.66 0.90 0.62 0.18 0.86 0.94
0.62 0.94 0.70 0.90 0.26 0.54 0.94 0.50 0.66 0.66
0.46 0.10 0.18 0.70 0.82 0.50 0.54 0.74 0.70 0.74
0.26 0.38 0.94 0.86 0.74 0.38 0.46 0.82 0.22 0.58
0.50 0.66 0.22 0.14 0.90 0.46 0.86 0.26 0.50 0.02
0.10 0.50 0.42 0.82 0.86 0.34 0.30 0.78 0.26 0.54
0.54 0.58 0.54 0.34 0.14 0.58 0.22 0.14 0.14 0.98
0.66 0.30 0.34 0.38 0.06 0.98 0.34 0.86 0.58 0.46
0.94 0.06 0.02 0.54 0.22 0.70 0.38 0.30 0.38 0.78
0.98 0.42 0.78 0.10 0.02 0.18 0.14 0.70 0.94 0.70
0.38 0.22 0.10 0.74 0.98 0.62 0.98 0.38 0.98 0.22
0.06 0.18 0.66 0.18 0.58 0.26 0.10 0.42 0.46 0.06
0.22 0.62 0.58 0.46 0.54 0.66 0.42 0.22 0.90 0.18
0.18 0.78 0.98 0.94 0.94 0.82 0.74 0.54 0.62 0.50
0.34 0.82 0.90 0.98 0.38 0.06 0.66 0.62 0.54 0.26
0.58 0.26 0.14 0.50 0.78 0.74 0.06 0.66 0.18 0.10
0.90 0.98 0.62 0.30 0.46 0.22 0.90 0.06 0.78 0.38
0.82 0.14 0.06 0.02 0.62 0.86 0.50 0.46 0.82 0.62
